Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry
Bajaj Finance Ltd.,BAJFINANCE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,Financial Services,Finance,Holding Company
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services,Financial Services,Finance,Holding Company
Bajaj Housing Finance Ltd.,BAJAJHFL,Financial Services,Financial Services,Finance,Housing Finance Company
Balkrishna Industries Ltd.,BALKRISIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Bandhan Bank Ltd.,BANDHANBNK,Financial Services,Financial Services,Banks,Private Sector Bank
Bank of Baroda,BANKBARODA,Financial Services,Financial Services,Banks,Public Sector Bank
Bank of India,BANKINDIA,Financial Services,Financial Services,Banks,Public Sector Bank
Bank of Maharashtra,MAHABANK,Financial Services,Financial Services,Banks,Public Sector Bank
Bata India Ltd.,BATAINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
Bayer Cropscience Ltd.,BAYERCROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Berger Paints India Ltd.,BERGEPAINT,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
Bharat Dynamics Ltd.,BDL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Bharat Electronics Ltd.,BEL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Bharat Forge Ltd.,BHARATFORG,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Bharat Heavy Electricals Ltd.,BHEL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Bharat Petroleum Corporation Ltd.,BPCL,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
