Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry,Market Cap,Free Float Market Cap
Atul Ltd.,ATUL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,19481.61,10502.02904
AU Small Finance Bank Ltd.,AUBANK,Financial Services,Financial Services,Banks,Other Bank,55465.99,41716.19425
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,62151.58,29845.56243
AWL Agri Business Ltd.,AWL,Financial Services,Financial Services,Banks,Other Bank,32686.92,8270.21491
Axis Bank Ltd.,AXISBANK,Financial Services,Financial Services,Banks,Private Sector Bank,334913.72,308228.4631
Bajaj Auto Ltd.,BAJAJ-AUTO,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,230136.19,91049.70327
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,Financial Services,Finance,Holding Company,306923.94,104047.2161
Bajaj Housing Finance Ltd.,BAJAJHFL,Financial Services,Financial Services,Finance,Housing Finance Company,94530.34,10530.11228
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services,Financial Services,Finance,Holding Company,154364.1,59885.08887
Bajaj Finance Ltd.,BAJFINANCE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),548037.93,233707.4863
Balkrishna Industries Ltd.,BALKRISIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,46879.42,19370.482
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,11086.12,6285.797356
Bandhan Bank Ltd.,BANDHANBNK,Financial Services,Financial Services,Banks,Private Sector Bank,26825.9,14064.03924
Bank of Baroda,BANKBARODA,Financial Services,Financial Services,Banks,Public Sector Bank,125028.02,44642.50604
Bank of India,BANKINDIA,Financial Services,Financial Services,Banks,Public Sector Bank,50917.04,13552.7406
BASF India Ltd.,BASF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,19868.11,5216.431559
Bata India Ltd.,BATAINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,15204.81,7532.41626
Bayer Cropscience Ltd.,BAYERCROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,28455.91,8051.25685
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,13110.84,3244.97167
Bharat Dynamics Ltd.,BDL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,57513.66,14420.6866
Bharat Electronics Ltd.,BEL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,283802.16,138673.6833
BEML Ltd.,BEML,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,16137.24,7388.178855
Berger Paints India Ltd.,BERGEPAINT,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,63564.58,15480.20081
Bharat Forge Ltd.,BHARATFORG,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,55405.69,30813.04428
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,1094861.24,521892.9827
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,87240,13086
Bharat Heavy Electricals Ltd.,BHEL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,79453.72,29247.55056
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,18290.76,4582.750395
Biocon Ltd.,BIOCON,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,48852.65,21885.84119
BLS International Services Ltd.,BLS,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,16453.17,4829.004422
Blue Dart Express Ltd.,BLUEDART,Services,Services,Transport Services,Logistics Solution Provider,13798.98,3430.826603
Blue Star Ltd.,BLUESTARCO,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,37524.7,23623.11127
Bosch Ltd.,BOSCHLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,114110.89,33460.39487
Bharat Petroleum Corporation Ltd.,BPCL,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,134537.06,59940.83234
Brigade Enterprises Ltd.,BRIGADE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,23218.18,13149.10308
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,131971.74,64445.75949
BSE Ltd.,BSE,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,99726.29,99717.31631
Birlasoft Ltd.,BSOFT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,10635,6288.25211
Campus Activewear Ltd.,CAMPUS,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,8099.17,2256.33031
Computer Age Management Services Ltd.,CAMS,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries,18967.64,18339.27632
Canara Bank,CANBK,Financial Services,Financial Services,Banks,Public Sector Bank,98779.39,36612.77929
Can Fin Homes Ltd.,CANFINHOME,Financial Services,Financial Services,Finance,Housing Finance Company,9880.04,6255.742442
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,15361.96,4066.803391
Carborundum Universal Ltd.,CARBORUNIV,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,16262.19,9689.888289
Castrol India Ltd.,CASTROLIND,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,21246.35,10364.62759
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,11603.58,6145.683313
Central Depository Services (India) Ltd.,CDSL,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries,32683.42,27779.79576
Ceat Ltd.,CEATLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,13004.7,6752.276702
Central Bank of India,CENTRALBK,Financial Services,Financial Services,Banks,Public Sector Bank,32060.06,3439.179172
Century Plyboards (India) Ltd.,CENTURYPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,16662.97,4542.393432
Cera Sanitaryware Ltd,CERA,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware,8044.2,3588.009195
CESC Ltd.,CESC,Utilities,Power,Power,Integrated Power Utilities,21984.59,10429.44343
Capri Global Capital Ltd.,CGCL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),18059.51,5437.699676
CG Power and Industrial Solutions Ltd.,CGPOWER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,107234.83,44804.10397
Chalet Hotels Ltd.,CHALET,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,19236.99,6259.158214
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,22468.58,8523.635881
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,9549.69,3080.194593
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),125167.21,62499.86668
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services,Financial Services,Finance,Investment Company,34699.4,18255.45697
Cipla Ltd.,CIPLA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,120354.93,83584.21348
Clean Science and Technology Ltd.,CLEAN,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,12709.56,2683.357575
Coal India Ltd.,COALINDIA,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Coal,233567.4,85850.73557
Cochin Shipyard Ltd.,COCHINSHIP,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services,44723.73,14349.11764
Coforge Ltd.,COFORGE,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,57069.85,56697.92648
